Solution Number,Heuristic 1 Average Nodes,Heuristic 2 Average Nodes,Heuristic 3 Average Nodes,Number of puzzles generated,H1 Branching Factor,H2 Branching Factor,H3 Branching Factor
2,5.0,5.0,5.0,4,1.7912878474744502,1.7912878474744502,1.7912878474744502
4,9.0,8.75,9.0,16,1.3523950218368554,1.3391496124536388,1.3523950218368554
6,16.384615384615383,13.615384615384615,16.384615384615383,39,1.2963102211511932,1.2400023646107279,1.2963102211511932
8,31.04,20.74,30.58,100,1.3001811015638327,1.2102789757234744,1.296826607135396
10,70.96,32.09,69.53,100,1.3433407260076693,1.2051485108942386,1.3397618994745417
12,164.92,57.31,156.05,100,1.3759842082048763,1.2264400029085425,1.3680730357638562
14,397.7,109.21,363.96,100,1.4037784975273417,1.2505639233804202,1.3931085473391434
16,932.02,204.73,841.83,100,1.4212827193553217,1.2671044196913575,1.41073067445107
18,2314.27,386.46,2065.02,100,1.4399142286643687,1.2804848033171699,1.4295184374911147
20,5436.41,729.09,4812.07,100,1.450010141571667,1.2909744875509996,1.440087443993431
22,12737.26,1393.09,11227.39,100,1.4579368067722518,1.3002808225998415,1.448675565288257
24,27694.49,2788.99,24550.76,100,1.4594424418529015,1.3108251758591543,1.4514008285937303
